id,symbol,direction,opened_at,score,sim_pnl_12p,outcome,actual_pnl_pips,adr_pips,atr_pips,ema_align,kz_name,kz_range_pips,hour_utc,dow,adr_bucket,atr_bucket,kz_range_bucket,hour_block
65,EURUSD,SHORT,2026-04-02 03:57:06.766868+00:00,80.0,12.0,TP,-24.200000000000887,80.55714285714292,10.749999999999687,1,,,3,3,mid,mid,,asian_0_4
66,EURGBP,LONG,2026-04-02 03:57:07.266806+00:00,76.35,12.0,TP,-3.6000000000002697,34.56428571428558,5.199999999999807,1,,,3,3,low,low,,asian_0_4
67,USDCHF,SHORT,2026-04-02 13:01:18.334889+00:00,69.14,12.0,TP,3.7,65.77857142857135,8.885714285714132,0,,,13,3,mid,mid,,ny_morning_12_16
68,USDCHF,LONG,2026-04-02 15:57:45.567286+00:00,77.4,-12.000000000000899,SL,-8.60000000000083,65.77857142857135,9.564285714285644,1,,,15,3,mid,mid,,ny_morning_12_16
69,NZDUSD,SHORT,2026-04-03 00:00:35.858040+00:00,77.72,12.0,TP,7.669312624473346,55.05000000000022,5.049999999999935,1,,,0,4,low,low,,asian_0_4
70,EURGBP,SHORT,2026-04-03 02:00:45.566028+00:00,80.0,12.0,TP,-13.999999999999568,34.085714285714275,3.6999999999998936,0,,,2,4,low,low,,asian_0_4
71,EURAUD,SHORT,2026-04-03 13:00:39.234689+00:00,85.0,12.0,TP,-5.100000000000104,109.89999999999944,11.099999999999918,1,,,13,4,high,mid,,ny_morning_12_16
72,EURAUD,LONG,2026-04-03 17:00:59.823409+00:00,85.0,12.0,TP,9.740051198854792,110.14285714285658,12.16428571428531,0,,,17,4,high,high,,ny_evening_16_21
73,EURAUD,SHORT,2026-04-05 23:00:27.844590+00:00,90.0,12.0,TP,26.123113914405582,100.84999999999964,14.37142857142851,1,,,23,6,high,high,,late_21_24
74,EURGBP,SHORT,2026-04-06 02:00:59.333085+00:00,75.0,12.0,TP,-6.599999999999939,29.02142857142853,5.971428571428437,0,,,2,0,low,low,,asian_0_4
75,EURUSD,LONG,2026-04-06 16:00:06.036099+00:00,80.0,-14.836591984914715,SL,-7.299999999998974,67.30714285714272,10.099999999999712,1,,,16,0,mid,mid,,ny_evening_16_21
76,USDCHF,SHORT,2026-04-06 16:01:07.124467+00:00,80.0,12.0,TP,-9.20000000000032,57.93571428571421,7.850000000000119,1,,,16,0,low,mid,,ny_evening_16_21
77,EURAUD,SHORT,2026-04-07 00:29:26.227920+00:00,80.0,-32.60567633263545,SL,-32.70000000000106,89.435714285714,8.335714285714177,1,,,0,1,high,mid,,asian_0_4
78,NZDUSD,SHORT,2026-04-07 09:00:44.260584+00:00,85.0,12.0,TP,15.499999999999403,50.4928571428574,6.299999999999797,0,,,9,1,low,low,,london_7_12
79,EURUSD,SHORT,2026-04-07 13:29:48.215761+00:00,85.0,-19.78858282437379,SL,-20.000000000000018,68.7571428571427,12.04999999999948,0,,,13,1,mid,high,,ny_morning_12_16
80,NZDUSD,LONG,2026-04-07 14:22:02.730532+00:00,70.0,12.0,TP,22.699999999999942,50.4928571428574,9.221428571428238,0,,,14,1,low,mid,,ny_morning_12_16
81,USDCHF,SHORT,2026-04-07 19:00:04.369635+00:00,80.0,12.0,TP,15.699999999999603,58.807142857142786,8.864285714285815,0,,,19,1,low,mid,,ny_evening_16_21
82,EURGBP,SHORT,2026-04-08 00:53:09.657220+00:00,65.0,12.0,TP,14.57031420219157,28.092857142857046,6.521428571428313,1,,,0,2,low,low,,asian_0_4
83,USDCHF,LONG,2026-04-08 13:32:16.816714+00:00,60.0,12.0,TP,38.3,60.09285714285709,11.71428571428601,0,,,13,2,mid,mid,,ny_morning_12_16
84,EURAUD,SHORT,2026-04-08 15:13:49.806927+00:00,69.26,12.0,TP,-31.599999999998296,98.16428571428519,20.014285714285823,1,,,15,2,high,high,,ny_morning_12_16
85,NZDUSD,LONG,2026-04-08 23:00:08.094077+00:00,70.0,12.0,TP,-1.100000000000545,53.678571428571615,7.585714285714418,1,,,23,2,low,mid,,late_21_24
86,EURUSD,LONG,2026-04-09 05:00:03.292219+00:00,70.0,-8.999999999999009,SL,-9.300000000000974,67.81428571428573,5.707142857143291,1,,,5,3,mid,low,,pre_london_4_7
87,USDCHF,SHORT,2026-04-09 13:00:32.523500+00:00,80.0,12.0,TP,-7.399999999999629,57.857142857142826,6.771428571428523,1,,,13,3,low,low,,ny_morning_12_16
88,USDCHF,LONG,2026-04-09 18:33:58.949460+00:00,51.94,-13.000000000000789,SL,-18.000000000000238,59.17142857142851,10.028571428571466,0,,,18,3,mid,mid,,ny_evening_16_21
89,NZDUSD,LONG,2026-04-10 02:00:58.659637+00:00,85.0,-15.183738373498734,SL,-9.100000000000774,50.67142857142881,6.050000000000222,1,,,2,4,low,low,,asian_0_4
90,EURUSD,LONG,2026-04-10 05:00:19.953306+00:00,55.38,-13.904877386103909,SL,-8.00000000000134,66.97142857142846,4.928571428571203,1,,,5,4,mid,low,,pre_london_4_7
91,EURGBP,LONG,2026-04-10 08:51:48.001246+00:00,75.0,-8.866864357001125,SL,3.1800000000001827,28.785714285714207,2.814285714285753,0,,,8,4,low,low,,london_7_12
92,EURGBP,SHORT,2026-04-10 15:36:51.456834+00:00,90.0,-8.099999999999774,SL,-8.099999999999774,29.699999999999964,6.178571428571382,1,,,15,4,low,low,,ny_morning_12_16
