id,symbol,direction,score,opened_at,pnl_pips_flat12,outcome_flat12,actual_pnl_pips,threshold,cum_pips
116,EURUSD,LONG,90.0,2026-04-17 06:48:27.501524+00:00,12.0,TP,20.199999999999108,60,108.47828621178571
118,USDCHF,SHORT,60.0,2026-04-17 09:00:57.877025+00:00,12.0,TP,26.000000000000465,60,120.47828621178571
119,EURAUD,LONG,65.0,2026-04-17 11:00:10.284454+00:00,-17.599999999999838,SL,-17.599999999999838,60,102.87828621178588
121,EURAUD,LONG,70.0,2026-04-19 23:00:25.857185+00:00,12.0,TP,13.284912026049422,60,114.87828621178588
122,EURGBP,SHORT,70.0,2026-04-20 08:00:51.107737+00:00,-8.699999999999264,SL,-2.2999999999995246,60,106.17828621178661
124,EURAUD,SHORT,63.47,2026-04-20 10:00:25.303361+00:00,12.0,TP,-21.14632486454493,60,118.17828621178661
125,USDCHF,SHORT,82.93,2026-04-20 14:00:50.968099+00:00,-12.15537803887723,SL,-12.15537803887723,60,106.02290817290938
126,GBPJPY,SHORT,80.0,2026-04-20 14:01:30.342782+00:00,-25.100000000000477,SL,-25.100000000000477,60,80.9229081729089
130,EURGBP,LONG,85.0,2026-04-21 09:00:09.740344+00:00,-11.392241804146774,SL,-8.500000000000174,60,69.53066636876213
131,EURAUD,SHORT,85.0,2026-04-21 17:00:05.141805+00:00,12.0,TP,6.360000000001698,60,81.53066636876213
133,EURJPY,SHORT,77.5,2026-04-21 20:00:21.432498+00:00,12.0,TP,-24.72620478274621,60,93.53066636876213
134,CHFJPY,LONG,60.0,2026-04-22 10:01:11.176060+00:00,-18.700000000001182,SL,-18.700000000001182,60,74.83066636876094
135,GBPJPY,LONG,65.0,2026-04-22 11:37:31.652040+00:00,-16.499999999999204,SL,-17.099999999999227,60,58.33066636876174
136,NZDUSD,LONG,90.0,2026-04-22 12:00:42.769808+00:00,12.0,TP,2.9999999999996696,60,70.33066636876174
137,EURUSD,SHORT,70.0,2026-04-22 14:00:28.291031+00:00,12.0,TP,24.29999999999932,60,82.33066636876174
138,NZDUSD,SHORT,60.0,2026-04-22 19:00:06.512348+00:00,12.0,TP,-11.011016301909482,60,94.33066636876174
139,EURAUD,SHORT,73.33,2026-04-23 15:00:07.371980+00:00,-31.200000000000117,SL,-31.69999999999895,60,63.130666368761624
140,EURAUD,LONG,62.5,2026-04-23 18:00:27.843663+00:00,12.0,TP,31.959999999999766,60,75.13066636876162
141,EURJPY,LONG,75.0,2026-04-23 23:00:51.486677+00:00,-17.826422918963658,SL,-17.900000000000205,60,57.304243449797966
142,EURUSD,SHORT,80.0,2026-04-24 10:18:24.807082+00:00,-16.20000000000177,SL,-18.000000000000238,60,41.1042434497962
143,CHFJPY,SHORT,75.0,2026-04-24 10:18:25.642809+00:00,12.0,TP,26.987265131135132,60,53.1042434497962
144,EURGBP,SHORT,75.0,2026-04-24 11:01:03.765646+00:00,12.0,TP,-9.60000000000072,60,65.1042434497962
145,USDCHF,SHORT,80.0,2026-04-24 12:00:44.441700+00:00,-13.500000000000734,SL,-13.500000000000734,60,51.60424344979547
146,GBPJPY,LONG,70.0,2026-04-24 13:00:59.925285+00:00,12.0,TP,27.282933452555085,60,63.60424344979547
147,EURAUD,SHORT,80.0,2026-04-24 15:00:15.504087+00:00,12.0,TP,13.619999999998631,60,75.60424344979546
148,CHFJPY,LONG,69.75,2026-04-26 23:00:10.928006+00:00,12.0,TP,21.18000000000052,60,87.60424344979546
149,EURAUD,SHORT,80.0,2026-04-27 00:00:21.984081+00:00,12.0,TP,19.800000000000928,60,99.60424344979546
150,USDCHF,LONG,90.0,2026-04-27 17:00:35.877563+00:00,-13.299999999999423,SL,12.720000000000065,60,86.30424344979603
151,EURGBP,SHORT,80.0,2026-04-27 19:00:03.782985+00:00,12.0,TP,5.760000000000431,60,98.30424344979603
152,EURAUD,SHORT,81.76,2026-04-28 08:39:47.703905+00:00,-26.699999999999502,SL,-23.699999999999832,60,71.60424344979653
157,EURJPY,SHORT,75.0,2026-04-28 14:00:31.882415+00:00,-38.2000000000005,SL,28.439999999999372,60,33.40424344979603
159,USDCHF,LONG,60.0,2026-04-29 01:30:39.228725+00:00,12.0,TP,9.540000000000548,60,45.40424344979603
160,EURJPY,LONG,85.0,2026-04-29 09:00:15.711659+00:00,12.0,TP,3.000000000000682,60,57.40424344979603
161,EURUSD,LONG,62.89,2026-04-29 15:30:35.193549+00:00,-9.500000000000064,SL,1.1200132516808736,60,47.90424344979596
163,EURUSD,SHORT,85.0,2026-04-30 13:30:21.947935+00:00,-20.599999999999508,SL,0.0,60,27.304243449796456
164,EURJPY,SHORT,70.0,2026-05-03 23:01:12.786913+00:00,12.0,TP,10.113005135116282,60,39.30424344979646
165,EURJPY,LONG,70.0,2026-05-04 06:00:35.629275+00:00,12.0,TP,-1.500000000001478,60,51.30424344979646
166,EURAUD,SHORT,73.28,2026-05-04 17:00:23.680357+00:00,12.0,TP,32.16388267703607,60,63.30424344979646
44,EURAUD,LONG,65.0,2026-03-27 09:00:13.357386+00:00,12.0,TP,-7.200000000000539,65,12.0
46,NZDUSD,SHORT,70.87,2026-03-27 11:00:21.798770+00:00,12.0,TP,5.599999999998939,65,24.0
47,USDCHF,SHORT,65.0,2026-03-27 14:00:07.147714+00:00,-14.7407371905528,SL,-14.500000000000624,65,9.2592628094472
49,EURGBP,SHORT,75.0,2026-03-30 04:00:20.479515+00:00,-13.699999999999823,SL,-9.000000000000119,65,-4.440737190552623
50,EURUSD,LONG,80.0,2026-03-30 06:45:44.659272+00:00,-12.486827859110594,SL,-12.5,65,-16.927565049663215
51,NZDUSD,SHORT,80.0,2026-03-30 07:00:48.771808+00:00,12.0,TP,14.399999999999968,65,-4.927565049663215
52,EURAUD,LONG,70.0,2026-03-30 11:00:49.921874+00:00,12.0,TP,9.5,65,7.072434950336785
53,USDCHF,SHORT,75.0,2026-03-30 13:00:26.472579+00:00,-12.599999999999278,SL,-12.6,65,-5.527565049662494
54,EURUSD,SHORT,75.0,2026-03-31 02:00:42.033075+00:00,12.0,TP,-14.40000000000108,65,6.472434950337506
56,EURAUD,LONG,85.0,2026-03-31 11:02:11.707133+00:00,-16.300000000000203,SL,-22.7,65,-9.827565049662697
57,EURGBP,SHORT,80.0,2026-03-31 11:08:31.922124+00:00,-8.412619361859441,SL,-8.00000000000023,65,-18.240184411522137
58,USDCHF,LONG,80.0,2026-03-31 12:01:22.097110+00:00,12.0,TP,32.49999999999975,65,-6.2401844115221365
60,USDCHF,SHORT,70.0,2026-03-31 19:38:46.410732+00:00,12.0,TP,-15.399999999999858,65,5.7598155884778635
61,NZDUSD,LONG,65.0,2026-04-01 13:13:43.697634+00:00,-11.900000000000244,SL,-5.199999999999649,65,-6.14018441152238
62,EURAUD,SHORT,70.0,2026-04-01 17:00:26.946138+00:00,-17.000000000000348,SL,-17.1,65,-23.14018441152273
63,EURAUD,LONG,75.0,2026-04-01 20:00:23.244413+00:00,12.0,TP,6.5,65,-11.140184411522728
65,EURUSD,SHORT,80.0,2026-04-02 03:57:06.766868+00:00,12.0,TP,-24.200000000000887,65,0.8598155884772716
66,EURGBP,LONG,76.35,2026-04-02 03:57:07.266806+00:00,12.0,TP,-3.6000000000002697,65,12.859815588477272
67,USDCHF,SHORT,69.14,2026-04-02 13:01:18.334889+00:00,12.0,TP,3.7,65,24.85981558847727
68,USDCHF,LONG,77.4,2026-04-02 15:57:45.567286+00:00,-12.000000000000899,SL,-8.60000000000083,65,12.859815588476373
69,NZDUSD,SHORT,77.72,2026-04-03 00:00:35.858040+00:00,12.0,TP,7.669312624473346,65,24.859815588476373
70,EURGBP,SHORT,80.0,2026-04-03 02:00:45.566028+00:00,12.0,TP,-13.999999999999568,65,36.85981558847637
71,EURAUD,SHORT,85.0,2026-04-03 13:00:39.234689+00:00,12.0,TP,-5.100000000000104,65,48.85981558847637
72,EURAUD,LONG,85.0,2026-04-03 17:00:59.823409+00:00,12.0,TP,9.740051198854792,65,60.85981558847637
73,EURAUD,SHORT,90.0,2026-04-05 23:00:27.844590+00:00,12.0,TP,26.123113914405582,65,72.85981558847638
74,EURGBP,SHORT,75.0,2026-04-06 02:00:59.333085+00:00,12.0,TP,-6.599999999999939,65,84.85981558847638
75,EURUSD,LONG,80.0,2026-04-06 16:00:06.036099+00:00,-14.836591984914715,SL,-7.299999999998974,65,70.02322360356166
76,USDCHF,SHORT,80.0,2026-04-06 16:01:07.124467+00:00,12.0,TP,-9.20000000000032,65,82.02322360356166
77,EURAUD,SHORT,80.0,2026-04-07 00:29:26.227920+00:00,-32.60567633263545,SL,-32.70000000000106,65,49.417547270926214
78,NZDUSD,SHORT,85.0,2026-04-07 09:00:44.260584+00:00,12.0,TP,15.499999999999403,65,61.417547270926214
79,EURUSD,SHORT,85.0,2026-04-07 13:29:48.215761+00:00,-19.78858282437379,SL,-20.000000000000018,65,41.62896444655242
80,NZDUSD,LONG,70.0,2026-04-07 14:22:02.730532+00:00,12.0,TP,22.699999999999942,65,53.62896444655242
81,USDCHF,SHORT,80.0,2026-04-07 19:00:04.369635+00:00,12.0,TP,15.699999999999603,65,65.62896444655243
82,EURGBP,SHORT,65.0,2026-04-08 00:53:09.657220+00:00,12.0,TP,14.57031420219157,65,77.62896444655243
84,EURAUD,SHORT,69.26,2026-04-08 15:13:49.806927+00:00,12.0,TP,-31.599999999998296,65,89.62896444655243
85,NZDUSD,LONG,70.0,2026-04-08 23:00:08.094077+00:00,12.0,TP,-1.100000000000545,65,101.62896444655243
86,EURUSD,LONG,70.0,2026-04-09 05:00:03.292219+00:00,-8.999999999999009,SL,-9.300000000000974,65,92.62896444655343
87,USDCHF,SHORT,80.0,2026-04-09 13:00:32.523500+00:00,12.0,TP,-7.399999999999629,65,104.62896444655343
89,NZDUSD,LONG,85.0,2026-04-10 02:00:58.659637+00:00,-15.183738373498734,SL,-9.100000000000774,65,89.4452260730547
91,EURGBP,LONG,75.0,2026-04-10 08:51:48.001246+00:00,-8.866864357001125,SL,3.1800000000001827,65,80.57836171605358
92,EURGBP,SHORT,90.0,2026-04-10 15:36:51.456834+00:00,-8.099999999999774,SL,-8.099999999999774,65,72.4783617160538
93,USDCHF,SHORT,79.85,2026-04-10 17:16:17.710045+00:00,-17.828218687760966,SL,-17.800000000000036,65,54.65014302829283
94,EURJPY,LONG,86.29,2026-04-13 00:39:36.434032+00:00,12.0,TP,10.29356601327038,65,66.65014302829283
95,EURUSD,LONG,84.17,2026-04-13 02:01:00.450274+00:00,12.0,TP,-3.4000000000000696,65,78.65014302829283
96,CHFJPY,SHORT,70.0,2026-04-13 03:00:15.514793+00:00,12.0,TP,-21.000000000000796,65,90.65014302829283
97,EURGBP,LONG,85.0,2026-04-13 06:46:11.868765+00:00,-10.39993987652199,SL,-9.799999999999809,65,80.25020315177085
99,USDCHF,SHORT,79.85,2026-04-13 11:15:23.715615+00:00,-17.599999999999838,SL,-17.599999999999838,65,62.65020315177101
100,NZDUSD,LONG,70.0,2026-04-13 14:00:44.730523+00:00,12.0,TP,29.94057417466922,65,74.65020315177101
103,NZDUSD,LONG,85.0,2026-04-14 23:45:56.404833+00:00,-9.936103163195042,SL,-9.936103163195042,65,64.71409998857597
104,CHFJPY,LONG,85.69,2026-04-15 01:41:33.683612+00:00,-30.810327897549428,SL,-20.09999999999934,65,33.90377209102654
106,EURJPY,LONG,90.0,2026-04-15 05:07:27.171492+00:00,12.0,TP,2.5200000000000955,65,45.90377209102654
107,USDCHF,SHORT,70.0,2026-04-15 08:12:17.411997+00:00,-11.200000000000099,SL,-11.2000000000001,65,34.70377209102644
109,EURUSD,LONG,100.0,2026-04-15 15:17:59.553839+00:00,12.0,TP,0.99999999999989,65,46.70377209102644
110,CHFJPY,SHORT,70.0,2026-04-15 17:00:53.282377+00:00,12.0,TP,20.057100903511017,65,58.70377209102644
111,USDCHF,SHORT,90.0,2026-04-16 02:00:59.143716+00:00,12.0,TP,10.7999999999997,65,70.70377209102644
