id,symbol,direction,entry_price,target_1,target_2,stop_loss,close_price,pnl,pnl_pips,close_reason,partial_closed,partial_close_price,partial_close_at,opened_at,closed_at,lot_size,intended_entry,intended_sl,slippage,mt5_ticket,mt5_ticket_partial,pnl_estimated,pattern_id,pattern_metadata
89,NZDUSD,LONG,0.58528,0.58618,0.5876600000000001,0.5837616261626501,0.58437,-57.33,-9.100000000000774,INVALIDATION,0,,,2026-04-10 02:00:58.659637,2026-04-10 06:22:11.608336,0.63,0.58499,0.5838716261626502,0.00029000000000001247,1584406545,,0,438,
90,EURUSD,LONG,1.16928,1.17026,1.1716550000000001,1.1678895122613895,1.16848,-55.2,-8.00000000000134,INVALIDATION,0,,,2026-04-10 05:00:19.953306,2026-04-10 07:00:43.381721,0.69,1.16909,1.1679695122613896,0.0001900000000001345,1584634526,,0,445,
91,EURGBP,LONG,0.87096,0.87121,0.8719500000000001,0.8700733135642998,0.87096,25.44000000000146,3.1800000000001827,TRAILING_STOP,1,0.87149,2026-04-10 09:19:45.290575,2026-04-10 08:51:48.001246,2026-04-10 09:32:48.154022,0.8,0.87081,0.8702033135642998,0.00014999999999998348,1585007755,,0,452,
92,EURGBP,SHORT,0.87097,0.87022,0.8695199999999998,0.87178,0.87178,0.0,-8.099999999999774,STOP_LOSS,0,,,2026-04-10 15:36:51.456834,2026-04-12 21:01:44.319414,0.87,0.87123,0.8716836024945552,0.00025999999999992696,1585886931,1585886297,0,465,
93,USDCHF,SHORT,0.78936,0.78712,0.784605,0.791142821868776,0.79114,0.0,-17.800000000000036,STOP_LOSS,0,,,2026-04-10 17:16:17.710045,2026-04-12 21:01:45.339824,0.42,0.78945,0.791052821868776,9.00000000000345e-05,1586084174,1586084151,0,466,
94,EURJPY,LONG,186.684,186.791,187.063,186.420243046939,186.78083915033176,57.64396967431412,10.293566013270379,TRAILING_STOP,1,186.791,2026-04-13 11:05:20.982144,2026-04-13 00:39:36.434032,2026-04-13 13:58:48.905697,0.56,186.652,186.43524304693898,0.03200000000001069,1587306358,1587306304,0,495,
95,EURUSD,LONG,1.1687,1.17026,1.1711950000000002,1.1677443118013742,1.16836,-14.43,-3.4000000000000696,INVALIDATION,0,,,2026-04-13 02:01:00.450274,2026-04-13 12:00:41.930085,0.97,1.16863,1.1678243118013742,7.00000000000145e-05,1587450204,1587450187,0,504,
96,CHFJPY,SHORT,201.67,201.402,201.2565,201.880667905313,201.88,0.0,-21.000000000000796,STOP_LOSS,0,,,2026-04-13 03:00:15.514793,2026-04-13 07:00:40.842192,0.71,201.735,201.86566790531302,0.06500000000002615,1587530614,1587530610,0,508,
97,EURGBP,LONG,0.87117,0.87166,0.8726400000000001,0.8701300060123478,0.87019,-33.52,-9.799999999999809,INVALIDATION,0,,,2026-04-13 06:46:11.868765,2026-04-13 09:00:15.695636,0.66,0.87099,0.8702400060123479,0.00017999999999995797,1587844440,1587844433,0,512,
98,EURAUD,SHORT,1.65703,1.65419,1.6516950000000001,1.65891,1.65891,0.0,-18.800000000001038,STOP_LOSS,0,,,2026-04-13 08:03:34.612923,2026-04-13 09:39:19.050078,0.7,1.6572,1.6587407935084622,0.00017000000000000348,1587994167,1587994140,0,469,
99,USDCHF,SHORT,0.78935,0.78712,0.784605,0.79111,0.79111,0.0,-17.599999999999838,STOP_LOSS,0,,,2026-04-13 11:15:23.715615,2026-04-13 12:00:43.587104,0.41,0.78945,0.791052821868776,9.999999999998899e-05,1588310214,1588310209,0,489,
100,NZDUSD,LONG,0.58367,0.5869,0.58795,0.5826,0.5863101435436674,251.50082306722146,29.94057417466922,TRAILING_STOP,1,0.5869,2026-04-13 18:49:55.120164,2026-04-13 14:00:44.730523,2026-04-13 21:02:22.298319,0.84,0.58252,0.5827547564234313,0.0011499999999999844,1588724689,1588724242,0,521,
101,EURAUD,SHORT,1.6571500000000001,1.65419,1.6516950000000001,1.65893,1.65893,0.0,-17.80000000000115,STOP_LOSS,0,,,2026-04-13 14:21:59.322348,2026-04-13 16:08:22.493321,0.72,1.6572,1.6587407935084622,4.999999999988347e-05,1588777628,1588777399,0,516,
102,EURGBP,SHORT,0.87029,0.86963,0.8690200000000001,0.8711224757146131,0.8711224757146131,-67.4305328836603,-8.324757146130901,STOP_LOSS,0,,,2026-04-14 05:00:42.856735,2026-04-14 07:01:04.459105,0.81,0.87061,0.8709724757146131,0.00031999999999998696,1590128129,1590128122,0,537,
103,NZDUSD,LONG,0.59068,0.592,0.5931,0.5896863896836805,0.5896863896836805,-90.41853878507489,-9.936103163195042,STOP_LOSS,0,,,2026-04-14 23:45:56.404833,2026-04-15 01:31:52.364249,0.91,0.59055,0.5898263896836805,0.00012999999999996348,1592255381,1592255369,0,545,
104,CHFJPY,LONG,203.537,203.677,203.99249999999998,203.2288967210245,203.336,-22.79,-20.09999999999934,INVALIDATION,0,,,2026-04-15 01:41:33.683612,2026-04-15 09:00:04.936404,0.46,203.526,203.2438967210245,0.01099999999999568,1592459230,1592459224,0,549,
105,EURGBP,LONG,0.86901,0.86957,0.8703799999999999,0.8682,0.8692913591374493,36.33203605335791,4.485436549797273,TRAILING_STOP,1,0.86957,2026-04-15 12:47:15.516046,2026-04-15 03:00:57.621747,2026-04-15 13:15:47.855468,0.81,0.86891,0.8683229634838929,9.999999999998899e-05,1592585375,1592585365,0,559,
106,EURJPY,LONG,187.483,187.525,188.01050000000004,187.04872718199846,187.483,8.064000000000306,2.5200000000000955,TRAILING_STOP,1,187.525,2026-04-15 12:55:44.575160,2026-04-15 05:07:27.171492,2026-04-15 13:39:41.869360,0.32,187.46,187.06972718199845,0.022999999999996135,1592710530,1592710525,0,548,
107,USDCHF,SHORT,0.78047,0.77951,0.778315,0.78159,0.78159,-69.44000000000062,-11.200000000000099,STOP_LOSS,0,,,2026-04-15 08:12:17.411997,2026-04-15 09:03:37.173196,0.62,0.78055,0.7814812315433105,7.999999999996898e-05,1593042207,1593042191,0,554,
108,GBPJPY,LONG,215.429,215.787,216.01950000000002,215.27760587868136,215.65432689005164,280.5362955390033,30.493075602065574,TRAILING_STOP,1,215.787,2026-04-15 14:22:28.515916,2026-04-15 11:11:07.509577,2026-04-15 16:22:33.942886,0.92,215.415,215.29260587868134,0.014000000000010004,1593374488,1593374469,1,565,
109,EURUSD,LONG,1.18014,1.1811099999999999,1.18234,1.17809692225487,1.18024,13.34,0.9999999999998899,TAKE_PROFIT,1,1.1811099999999999,2026-04-16 02:42:25.791788,2026-04-15 15:17:59.553839,2026-04-16 03:36:05.856309,0.44,1.1788,1.17818692225487,0.0013399999999998968,1593889892,1593889867,0,573,"{""kz_name"": ""ny_evening"", ""kz_high"": 1.1811099999999999, ""kz_low"": 1.17875, ""kz_range"": 0.0023599999999999177, ""rejection_price"": 1.1788}"
110,CHFJPY,SHORT,203.267,203.018,202.596,203.663,203.1390724774122,72.20556325263965,20.057100903511014,TRAILING_STOP,1,203.018,2026-04-16 03:01:41.655257,2026-04-15 17:00:53.282377,2026-04-16 03:28:03.659941,0.36,203.37,203.62374607074133,0.10300000000000864,1594098676,1594098568,1,571,"{""kz_name"": ""asian"", ""kz_high"": 203.534, ""kz_low"": 203.018, ""kz_range"": 0.5159999999999911, ""rejection_price"": 203.37}"
111,USDCHF,SHORT,0.78123,0.78006,0.7802,0.78217,0.78015,41.53,10.799999999999699,TARGET_2,0,,,2026-04-16 02:00:59.143716,2026-04-16 03:03:44.968160,0.75,0.78254,0.7820691586325551,0.0013100000000000334,1594754109,1594754104,0,586,"{""kz_name"": ""asian"", ""kz_high"": 0.78162, ""kz_low"": 0.78006, ""kz_range"": 0.0015600000000000058, ""rejection_price"": 0.78254}"
112,EURJPY,LONG,187.363,187.492,187.79149999999998,187.02081681727825,187.492,21.07,12.899999999999068,TAKE_PROFIT,1,187.492,2026-04-16 14:33:47.978697,2026-04-16 07:22:34.395502,2026-04-16 21:03:59.598008,0.43,187.208,187.03181681727824,0.15500000000000114,1595200099,1595200035,0,597,"{""kz_name"": ""london"", ""kz_high"": 187.492, ""kz_low"": 187.103, ""kz_range"": 0.3889999999999816, ""rejection_price"": 187.208}"
113,EURUSD,SHORT,1.1792,1.17828,1.1778400000000002,1.18051,1.1777199999999999,41.16,14.800000000001479,TARGET_2,1,1.17828,2026-04-16 08:20:51.555474,2026-04-16 08:00:29.125366,2026-04-16 08:26:24.390726,0.7,1.18033,1.1804317710536587,0.0011300000000000754,1595269220,1595269184,0,592,"{""kz_name"": ""london"", ""kz_high"": 1.17994, ""kz_low"": 1.17828, ""kz_range"": 0.0016599999999999948, ""rejection_price"": 1.18033}"
114,GBPJPY,LONG,215.591,215.905,216.209,215.362,215.362,-148.85000000000872,-22.90000000000134,STOP_LOSS,0,,,2026-04-16 14:00:44.911201,2026-04-16 14:21:47.692357,0.65,215.573,215.38418129473004,0.018000000000000682,1595987858,1595987789,1,608,"{""kz_name"": ""ny_evening"", ""kz_high"": 215.905, ""kz_low"": 215.481, ""kz_range"": 0.4240000000000066, ""rejection_price"": 215.573}"
115,CHFJPY,LONG,203.493,203.583,203.8275,203.163,203.493,23.7600000000009,5.400000000000205,TRAILING_STOP,1,203.583,2026-04-17 05:00:32.602317,2026-04-17 01:00:40.378384,2026-04-17 06:39:06.163049,0.44,203.364,203.18171811997252,0.12899999999999068,1596964883,1596964849,1,594,"{""kz_name"": ""london"", ""kz_high"": 203.583, ""kz_low"": 203.274, ""kz_range"": 0.3089999999999975, ""rejection_price"": 203.364}"
116,EURUSD,LONG,1.1776,1.17887,1.1796000000000002,1.1766177838602307,1.17962,76.76,20.199999999999108,TARGET_2,1,1.17887,2026-04-17 08:43:28.909911,2026-04-17 06:48:27.501524,2026-04-17 09:24:22.966358,0.94,1.17717,1.1767077838602307,0.00042999999999993044,1597424585,1597424583,0,637,"{""kz_name"": ""ny_morning"", ""kz_high"": 1.17887, ""kz_low"": 1.17725, ""kz_range"": 0.0016200000000001769, ""rejection_price"": 1.17717}"
117,CHFJPY,SHORT,203.333,203.065,203.05550000000002,203.497,203.497,-147.60000000001412,-16.40000000000157,STOP_LOSS,0,,,2026-04-17 07:00:32.252795,2026-04-17 07:54:28.636093,0.9,203.561,203.49168492801863,0.22800000000000864,1597440941,1597440928,1,636,"{""kz_name"": ""london"", ""kz_high"": 203.402, ""kz_low"": 203.065, ""kz_range"": 0.3369999999999891, ""rejection_price"": 203.561}"
