id,symbol,close_reason,actual,mfe,t1_pips,t2_pips,sl_pips,P1_lock50_at15,P2_TP_at20,P3_chand_10p,P4_chand_15p,P5_chand_20p,P6_lock60_at15,P7a_60TP20_40trail10,P7b_60TP20_40trail15,P7c_60TP20_40trail20,P8a_60TP15_40trail15,P9_70TP20_30trail15,P10_50TP20_50trail15,mfe_bucket
67,USDCHF,TRAILING_STOP,3.7,24.4,6.5,30.0,23.0,-4.0,20.0,2.1,9.4,4.4,-0.2,11.8,9.8,7.8,6.8,12.4,7.3,20-30p
68,USDCHF,INVALIDATION,-8.6,4.8,15.7,29.2,12.0,-12.0,-12.0,-5.2,-10.2,-12.0,-12.0,-9.3,-11.3,-12.0,-11.3,-11.5,-11.1,0-5p
69,NZDUSD,TRAILING_STOP,7.7,39.2,9.9,34.5,27.4,24.8,20.0,11.0,19.4,14.4,22.8,16.4,19.8,17.8,16.8,19.8,19.7,30-50p
70,EURGBP,INVALIDATION,-14.0,20.0,4.3,24.4,18.3,-1.6,20.0,-6.8,-8.6,0.0,1.7,10.6,8.6,12.0,5.6,11.4,5.7,10-20p
71,EURAUD,INVALIDATION,-5.1,18.1,13.6,25.5,14.5,0.3,-14.5,-3.9,-8.9,-13.9,3.2,-10.2,-12.2,-14.2,5.4,-12.8,-11.7,10-20p
72,EURAUD,TRAILING_STOP,9.7,19.6,13.7,54.7,33.5,-9.2,-33.5,-0.1,-5.1,-10.1,-4.4,-20.1,-22.1,-24.1,7.0,-25.0,-19.3,10-20p
73,EURAUD,TRAILING_STOP,26.1,216.9,24.0,54.4,24.3,34.7,20.0,37.0,32.0,27.0,30.8,12.0,14.0,22.8,11.0,15.5,12.5,
74,EURGBP,INVALIDATION,-6.6,20.9,7.3,13.8,10.5,14.4,20.0,-7.1,5.9,0.9,14.5,9.2,14.4,12.4,11.4,15.8,12.9,20-30p
75,EURUSD,INVALIDATION,-7.3,7.9,9.8,24.9,14.8,-14.8,-14.8,-6.6,-7.1,-12.1,-14.8,-11.5,-11.7,-13.7,-11.7,-12.5,-11.0,5-10p
76,USDCHF,INVALIDATION,-9.2,16.9,7.5,23.2,15.1,-0.1,-15.1,-9.3,1.9,-3.1,2.9,-12.8,-8.3,-10.3,9.8,-10.0,-6.6,10-20p
77,EURAUD,STOP_LOSS,-32.7,4.5,6.0,41.0,32.6,-32.6,-32.6,-5.5,-10.5,-15.5,-32.6,-21.8,-23.8,-25.8,-23.8,-26.0,-21.6,0-5p
78,NZDUSD,TARGET_2,15.5,24.7,5.0,13.6,11.5,14.3,13.6,10.4,9.2,4.7,14.5,15.9,13.9,13.9,10.9,15.4,12.3,20-30p
79,EURUSD,STOP_LOSS,-20.0,3.1,24.8,54.6,19.8,-19.8,-19.8,-6.9,-11.9,-16.9,-19.8,-14.6,-16.6,-18.6,-16.6,-17.4,-15.8,0-5p
80,NZDUSD,TARGET_2,22.7,211.9,7.5,22.0,14.9,18.5,20.0,-3.2,-8.2,5.8,17.8,10.7,8.7,14.3,5.7,11.5,5.9,
81,USDCHF,TARGET_2,15.7,202.0,7.9,15.6,14.7,15.3,15.6,9.4,17.6,12.6,15.3,15.2,13.2,15.9,10.2,14.9,11.5,
82,EURGBP,TRAILING_STOP,14.6,34.7,15.4,32.1,11.5,23.6,20.0,5.0,14.8,9.8,21.9,14.0,17.9,15.9,14.9,18.4,17.4,30-50p
83,USDCHF,TARGET_2,38.3,40.8,12.4,37.7,22.3,26.4,20.0,0.2,25.8,20.8,24.1,12.8,22.3,20.3,19.3,21.7,22.9,30-50p
84,EURAUD,INVALIDATION,-31.6,28.6,47.7,116.8,47.2,-16.1,20.0,5.6,7.1,2.1,-9.9,14.2,12.2,10.2,9.2,14.2,10.3,20-30p
85,NZDUSD,INVALIDATION,-1.1,48.0,33.5,46.2,10.1,30.6,20.0,-8.0,33.0,28.0,27.5,8.8,18.6,23.2,15.6,18.9,18.2,30-50p
86,EURUSD,STOP_LOSS,-9.3,-2.8,41.7,57.3,9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
87,USDCHF,INVALIDATION,-7.4,49.6,35.0,60.6,11.9,1.6,20.0,5.7,0.7,-4.3,4.2,14.3,12.3,10.3,9.3,14.2,10.4,30-50p
88,USDCHF,STOP_LOSS,-18.0,0.8,15.9,32.7,13.0,-13.0,-13.0,-9.2,-13.0,-13.0,-13.0,-11.5,-13.0,-13.0,-13.0,-13.0,-13.0,0-5p
89,NZDUSD,INVALIDATION,-9.1,0.4,9.0,23.8,15.2,-15.2,-15.2,-9.6,-14.6,-15.2,-15.2,-13.0,-15.0,-15.2,-15.0,-15.0,-14.9,0-5p
90,EURUSD,INVALIDATION,-8.0,0.7,9.8,23.7,13.9,-13.9,-13.9,-9.3,-13.9,-13.9,-13.9,-12.1,-13.9,-13.9,-13.9,-13.9,-13.9,0-5p
91,EURGBP,TRAILING_STOP,3.2,9.1,2.5,9.9,8.9,-8.9,-8.9,-0.9,-5.9,-8.9,-8.9,-5.7,-7.7,-8.9,-7.7,-8.0,-7.4,5-10p
92,EURGBP,STOP_LOSS,-8.1,10.4,7.5,14.5,8.1,-8.1,-8.1,0.4,-4.6,-8.1,-8.1,-6.2,-6.7,-8.1,-6.7,-7.0,-6.3,10-20p
