time,open,high,low,close,tick_volume,spread,real_volume
2025-01-14 18:30:00+00:00,1.1051,1.10517,1.10463,1.10469,2998,3,0
2025-01-14 18:45:00+00:00,1.10468,1.10505,1.10462,1.10479,2491,6,0
2025-01-14 19:00:00+00:00,1.10478,1.10551,1.10469,1.10544,2106,6,0
2025-01-14 19:15:00+00:00,1.10545,1.10554,1.10506,1.1054,1772,3,0
2025-01-14 19:30:00+00:00,1.10539,1.10586,1.10529,1.1058,1513,3,0
2025-01-14 19:45:00+00:00,1.1058,1.10605,1.10577,1.10581,1377,3,0
2025-01-14 20:00:00+00:00,1.10575,1.1059,1.1057,1.10579,1239,3,0
2025-01-14 20:15:00+00:00,1.10578,1.10581,1.10552,1.10562,1050,3,0
2025-01-14 20:30:00+00:00,1.10562,1.10564,1.1054,1.1055,1051,3,0
2025-01-14 20:45:00+00:00,1.1054599999999999,1.10562,1.1054599999999999,1.10559,923,3,0
2025-01-14 21:00:00+00:00,1.10558,1.10564,1.10543,1.10554,895,3,0
2025-01-14 21:15:00+00:00,1.10556,1.10559,1.10537,1.10547,818,3,0
2025-01-14 21:30:00+00:00,1.1054599999999999,1.10554,1.10532,1.10536,804,3,0
2025-01-14 21:45:00+00:00,1.10537,1.10547,1.1050200000000001,1.10507,1166,3,0
2025-01-14 22:00:00+00:00,1.10506,1.1052,1.1048,1.10513,1566,6,0
2025-01-14 22:15:00+00:00,1.10513,1.1052,1.10494,1.10501,1235,3,0
2025-01-14 22:30:00+00:00,1.10499,1.10519,1.10495,1.1050200000000001,986,3,0
2025-01-14 22:45:00+00:00,1.105,1.10535,1.10497,1.1053,891,3,0
2025-01-14 23:00:00+00:00,1.1053,1.10542,1.10513,1.10524,514,3,0
2025-01-14 23:15:00+00:00,1.10523,1.10531,1.10508,1.10518,343,6,0
2025-01-14 23:30:00+00:00,1.10524,1.10529,1.10503,1.10511,280,6,0
2025-01-14 23:45:00+00:00,1.10512,1.10528,1.10499,1.10513,386,7,0
2025-01-15 00:00:00+00:00,1.10508,1.1052,1.10266,1.10505,95,51,0
2025-01-15 00:15:00+00:00,1.10505,1.10505,1.10438,1.10474,105,117,0
2025-01-15 00:30:00+00:00,1.1047,1.10493,1.1047,1.1049,97,84,0
2025-01-15 00:45:00+00:00,1.1049,1.10521,1.10468,1.10508,290,47,0
2025-01-15 01:00:00+00:00,1.10508,1.1055,1.10498,1.10525,432,12,0
2025-01-15 01:15:00+00:00,1.10525,1.10534,1.10499,1.10534,289,12,0
2025-01-15 01:30:00+00:00,1.10535,1.10539,1.10506,1.10513,335,7,0
2025-01-15 01:45:00+00:00,1.10511,1.10522,1.10492,1.105,407,7,0
2025-01-15 02:00:00+00:00,1.105,1.10541,1.10497,1.10509,972,5,0
2025-01-15 02:15:00+00:00,1.10509,1.1051,1.10452,1.10459,698,7,0
2025-01-15 02:30:00+00:00,1.10459,1.10459,1.10419,1.10432,703,3,0
2025-01-15 02:45:00+00:00,1.1043,1.10474,1.10401,1.10411,1069,5,0
2025-01-15 03:00:00+00:00,1.1041,1.10445,1.10399,1.10422,1078,5,0
2025-01-15 03:15:00+00:00,1.10422,1.10444,1.10398,1.10408,849,3,0
2025-01-15 03:30:00+00:00,1.10408,1.10444,1.10405,1.10431,1307,9,0
2025-01-15 03:45:00+00:00,1.1043,1.10453,1.10404,1.10418,1149,3,0
2025-01-15 04:00:00+00:00,1.10417,1.10432,1.1038000000000001,1.10405,1029,3,0
2025-01-15 04:15:00+00:00,1.10407,1.10433,1.10385,1.10429,676,3,0
2025-01-15 04:30:00+00:00,1.10429,1.10492,1.10414,1.1049,734,3,0
2025-01-15 04:45:00+00:00,1.10491,1.10492,1.10459,1.1047,706,3,0
2025-01-15 05:00:00+00:00,1.10469,1.10473,1.10429,1.10447,853,3,0
2025-01-15 05:15:00+00:00,1.10448,1.10476,1.10448,1.10476,758,3,0
2025-01-15 05:30:00+00:00,1.10477,1.10505,1.10471,1.10484,703,3,0
2025-01-15 05:45:00+00:00,1.1048499999999999,1.10513,1.1047,1.10477,599,3,0
2025-01-15 06:00:00+00:00,1.10477,1.10483,1.10455,1.10481,484,3,0
2025-01-15 06:15:00+00:00,1.1048,1.1048,1.10448,1.10478,588,3,0
2025-01-15 06:30:00+00:00,1.1048,1.10511,1.10471,1.1049,611,3,0
2025-01-15 06:45:00+00:00,1.10488,1.10515,1.10481,1.10493,655,3,0
2025-01-15 07:00:00+00:00,1.10492,1.10498,1.10449,1.10464,748,3,0
2025-01-15 07:15:00+00:00,1.10465,1.10533,1.10461,1.10529,879,3,0
2025-01-15 07:30:00+00:00,1.10528,1.10543,1.10507,1.10514,804,3,0
2025-01-15 07:45:00+00:00,1.10513,1.10533,1.1050200000000001,1.10531,731,5,0
2025-01-15 08:00:00+00:00,1.10531,1.10536,1.10474,1.1050200000000001,978,7,0
2025-01-15 08:15:00+00:00,1.1050200000000001,1.10539,1.10498,1.10515,623,3,0
2025-01-15 08:30:00+00:00,1.1051,1.10536,1.1051,1.10534,561,3,0
2025-01-15 08:45:00+00:00,1.10533,1.10537,1.10517,1.10528,682,6,0
2025-01-15 09:00:00+00:00,1.10528,1.1056300000000001,1.10513,1.10519,1951,10,0
2025-01-15 09:15:00+00:00,1.1052,1.10536,1.10489,1.1050200000000001,1305,7,0
2025-01-15 09:30:00+00:00,1.10501,1.10531,1.10466,1.10475,1535,11,0
2025-01-15 09:45:00+00:00,1.10475,1.10481,1.10418,1.10431,1870,11,0
2025-01-15 10:00:00+00:00,1.10432,1.10452,1.10389,1.10429,2255,8,0
2025-01-15 10:15:00+00:00,1.10429,1.10469,1.1042,1.10468,1772,3,0
